Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16101023,"Proxy (Proxy, #1)",Alex London,"London, Alex",C. Alexander London,"=""0399257764""","=""9780399257766""",0,Philomel Books,Hardcover,384,2013,2013,,2021/02/07,to-read,to-read (#8),to-read,,,,0,0
48829708,"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,"Paolini, Christopher",,"=""1250762847""","=""9781250762849""",0,Tor Books,Hardcover,880,2020,2020,,2021/01/29,to-read,to-read (#7),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765387565""","=""9780765387561""",5,Tor Books,Hardcover,448,2020,2020,2021/01/21,2020/10/18,,,read,,,,2,0
32571395,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,"McManus, Karen M.",,"=""""","=""""",4,Delacorte Press,ebook,360,2017,2017,2020/12/23,2020/03/23,,,read,,,,1,0
41035725,The Psychology of Time Travel,Kate Mascarenhas,"Mascarenhas, Kate",,"=""1683319443""","=""9781683319443""",5,Crooked Lane Books,Hardcover,336,2019,2018,2020/12/23,2020/07/01,,,read,,,,1,0
53914972,The Windsor Knot,S.J.  Bennett,"Bennett, S.J.",,"=""0063050005""","=""9780063050006""",3,William Morrow,Hardcover,288,2021,2020,2020/12/23,2020/12/10,,,read,,,,1,0
38225791,Two Can Keep a Secret,Karen M. McManus,"McManus, Karen M.",,"=""1524714720""","=""9781524714727""",5,Delacorte Press,Hardcover,329,2019,2019,2020/12/09,2020/11/24,,,read,,,,1,0
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",0,William Morrow Paperbacks,Paperback,370,2003,1996,,2020/12/06,to-read,to-read (#6),to-read,,,,0,0
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765376458""","=""9780765376459""",0,Tor,Hardcover,400,2015,2015,,2020/11/22,to-read,to-read (#5),to-read,,,,0,0
44654627,"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus,"McManus, Karen M.",,"=""0525707964""","=""9780525707967""",4,Delacorte Press for Young Readers,Hardcover,377,2020,2020,2020/11/22,2020/10/22,,,read,,,,1,0
15793158,"A Murder at Rosamund's Gate  (Lucy Campion Mysteries, #1)",Susanna Calkins,"Calkins, Susanna",,"=""1250007909""","=""9781250007902""",0,Minotaur Books,Hardcover,352,2013,2013,,2020/11/17,to-read,to-read (#4),to-read,,,,0,0
25370829,At the Water's Edge,Sara Gruen,"Gruen, Sara",,"=""1473604702""","=""9781473604704""",0,Two Roads,Hardcover,400,2015,2015,,2015/04/20,,,read,,,,1,0
29589074,"Truly, Devious (Truly Devious, #1)",Maureen Johnson,"Johnson, Maureen",,"=""""","=""""",0,HarperCollins,Hardcover,416,2018,2018,,2020/11/17,to-read,to-read (#3),to-read,,,,0,0
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",4,Penguin Books,Kindle Edition,382,2020,2020,2020/10/22,2020/10/02,,,read,,,,1,0
40539807,The Wolf and the Watchman,Niklas Natt och Dag,"Dag, Niklas Natt och",,"=""1501196774""","=""9781501196775""",0,Atria Books,Hardcover,384,2019,2017,,2020/10/11,to-read,to-read (#2),to-read,,,,0,0
51807232,"Troubled Blood (Cormoran Strike, #5)",Robert Galbraith,"Galbraith, Robert",J.K. Rowling,"=""0751579939""","=""9780751579932""",4,Sphere,Hardcover,944,2020,2020,2020/10/02,2020/10/02,,,read,,,,1,0
13542616,"Taken (Alex Verus, #3)",Benedict Jacka,"Jacka, Benedict",,"=""1937007723""","=""9781937007720""",0,Ace,Mass Market Paperback,313,2012,2012,,2020/09/10,currently-reading,currently-reading (#1),currently-reading,,,,1,0
13274082,"Cursed (Alex Verus, #2)",Benedict Jacka,"Jacka, Benedict",,"=""1937007596""","=""9781937007591""",3,Ace,Mass Market Paperback,293,2012,2012,2020/09/09,2020/07/21,,,read,,,,1,0
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",3,Crown,Hardcover,305,2017,2017,2020/07/21,2020/07/01,,,read,,,,1,0
11737387,"Fated (Alex Verus, #1)",Benedict Jacka,"Jacka, Benedict",,"=""1937007294""","=""9781937007294""",3,Ace,Mass Market Paperback,295,2012,2012,2020/06/10,2020/06/10,,,read,,,,1,0
34846987,The Toymakers,Robert Dinsdale,"Dinsdale, Robert",,"=""1473551609""","=""9781473551602""",4,Ebury Digital,Kindle Edition,469,2018,2018,2019/03/05,2019/02/18,,,read,,,,1,0
36337550,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""""","=""""",2,Sourcebooks Landmark,Hardcover,432,2018,2018,2019/02/18,2018/12/29,,,read,,,,1,0
36434556,Suicide Club,Rachel Heng,"Heng, Rachel",,"=""1250185343""","=""9781250185341""",3,Henry Holt and Co.,Hardcover,339,2018,2018,,2018/07/16,,,read,,,,1,0
13089710,"The Kill Order (The Maze Runner, #4)",James Dashner,"Dashner, James",,"=""0385742886""","=""9780385742887""",5,Delacorte Books for Young Readers,Hardcover,327,2012,2012,2018/03/07,2016/01/26,,,read,,,,1,0
20821087,The Paying Guests,Sarah Waters,"Waters, Sarah",,"=""1594633118""","=""9781594633119""",4,Riverhead Books,Hardcover,564,2014,2014,2018/03/07,2015/09/26,,,read,,,,1,0
17307704,Running Like a Girl,Alexandra Heminsley,"Heminsley, Alexandra",노지양,"=""0091944368""","=""9780091944360""",5,Hutchinson,Paperback,240,2013,2013,2017/12/18,2017/03/01,,,read,,,,1,0
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"Colfer, Eoin",,"=""""","=""""",3,Miramax,Paperback,396,2003,2001,,2011/01/05,,,read,,,,2,0
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""0062255657""","=""9780062255655""",2,William Morrow Books,Hardcover,181,2013,2013,,2016/11/29,,,read,,,,1,0
23209927,At the Water's Edge,Sara Gruen,"Gruen, Sara",,"=""0385523238""","=""9780385523233""",2,Spiegel & Grau,Hardcover,348,2015,2015,2016/10/28,2015/01/11,,,read,,,,1,0
29056083,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,"Rowling, J.K.","Jack Thorne, John Tiffany","=""0540027340""","=""9780540027347""",3,"Little, Brown",Hardcover,343,2016,2016,2016/07/31,2016/05/04,,,read,,,,1,0
